Location_new_SAF,x,y,z,radius,feature1,feature2
L1,150,600,0,50,100,10000
L2,150,225,0,50,100,10000
L3,402,225,0,50,100,10000
L4,825,225,0,50,100,10000
L5,1225,225,0,50,1000,10000
L6,402,450,0,50,1000,10000
L7,700,450,0,50,1000,10000
L8,950,450,0,50,1000,10
L9,1225,550,0,50,1000,10
L10,402,700,0,50,1000,10
L11,700,700,0,50,1000,10
L12,950,700,0,50,1000,10
L13,1225,770,0,50,1000,10
