,R2.adj,Df,AIC,F,Pr(>F)
+ jpl_pma,0.138295735837478,1.0,220.438155914356,37.752427513587605,0.002
+ collection_timestamp,0.09435040914252502,10.0,203.450785832999,3.8033863573846602,0.002
<All variables>,0.04920996539149197,,,,
